baseEnergy,shortMetabolism,shortMean,shortSD,maxShortDays,maxShortTrips,longMetabolism,longMean,longSD,maxLongDays,maxLongTrips,parentEnergy_F,parentEnergy_M,chickMass,chickWing,chickTarsus
100,10,20,5,1,3,8,25,3,3,1,623.484574762853,612.763171467084,79,79,79
100,10,20,5,1,3,8,25,3,3,1,655.568173602017,662.362551875579,79,79,79
100,10,20,5,1,3,8,25,3,3,1,633.063542316819,694.480523976254,79,79,79
100,10,20,5,1,3,8,25,3,3,1,634.522935869058,627.166546567282,79,79,79
100,10,20,5,1,3,8,25,3,3,1,634.552679786813,658.064916297217,79,79,79
100,10,20,5,1,3,8,25,3,3,1,618.663321454446,615.41329388136,79,79,79
100,10,20,5,1,3,8,25,3,3,1,658.002620265391,625.276461871609,79,79,79
100,10,20,5,1,3,8,25,3,3,1,593.608196189138,678.080858929175,79,79,79
100,10,20,5,1,3,8,25,3,3,1,628.525722340537,588.180814995959,79,79,79
100,10,20,5,1,3,8,25,3,3,1,630.847549663716,619.511959338059,79,79,79
